file	register	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	adu_gender	coder	ID	chi_gender									
V-S1MA_pass1_692_20	ADS	246.534748	114.524728	423.074566	99.7171942	308.549839	1	0	0	0	0	0	1	0	0	17	female	emily	V-S1MA	male									
V-S1MA_pass1_692_27	IDS	214.312866	178.07406	616.198254	74.7373297	438.124194	1	0	0	0	0	0	0	0	1	17	female	emily	V-S1MA	male									
V-S1MA_pass1_692_33	ADS	317.01548	162.770817	496.32083	75.0272439	333.550013	1	0	0	0	0	0	1	0	0	17	female	emily	V-S1MA	male									
V-S1MA_pass1_692_37	IDS	325.535405	175.846377	454.945379	76.8263582	279.099002	1	0	0	1	0	0	0	0	0	17	male	emily	V-S1MA	male									
V-S1MA_pass1_692_38	IDS	266.532056	173.027722	461.292689	88.4062071	288.264968	0	0	0	0	0	0	1	0	0	17	male	emily	V-S1MA	male									
V-S1MA_pass1_692_39	IDS	222.228269	189.115724	300.222317	21.622541	111.106593	0	0	0	1	0	0	1	0	0	17	male	emily	V-S1MA	male									
V-S1MA_pass1_692_41	ADS	289.770481	206.500148	361.054665	35.1569797	154.554517	0	0	0	1	0	0	0	0	0	17	female	emily	V-S1MA	male									
V-S1MA_pass1_692_43	IDS	218.716228	158.554378	481.41105	95.2312815	322.856672	1	0	0	0	0	0	0	0	0	17	male	emily	V-S1MA	male									
V-S1MA_pass1_692_45	IDS	188.000692	140.958352	282.266436	35.4119535	141.308084	0	0	0	1	0	0	0	0	0	17	male	emily	V-S1MA	male									
V-S1MA_pass1_692_47	IDS	235.191639	175.948136	422.488477	56.9206031	246.54034	0	0	0	1	0	0	0	0	0	17	male	emily	V-S1MA	male									
V-S1MA_pass1_692_49	ADS	152.308141	115.294912	263.74462	34.6835954	148.449708	0	0	0	1	0	0	0	0	0	17	male	emily	V-S1MA	male									
B-15_06_pass1_983_4	ADS	211.768641	155.780182	361.164688	34.9623969	205.384506	0	0	0	1	0	0	0	0	0	6	female	emily	B-15	male									
B-15_06_pass1_983_7	ADS	195.027136	169.215318	242.150282	14.0220848	72.9349639	0	0	0	1	0	0	0	0	0	6	female	emily	B-15	male									
B-15_06_pass1_983_8	ADS	181.735797	146.671872	222.375666	17.0502621	75.7037942	0	0	0	1	0	0	0	0	0	6	female	emily	B-15	male									
B-15_06_pass1_983_9	ADS	183.74783	144.062147	261.496178	17.6307189	117.434031	1	0	0	0	0	0	0	0	0	6	female	emily	B-15	male									
B-15_06_pass1_983_12	ADS	184.266136	142.41907	275.088418	22.8723301	132.669348	0	0	0	0	0	0	0	0	1	6	female	emily	B-15	male									
B-15_06_pass1_983_14	ADS	154.782518	99.5379062	225.6665	31.6830342	126.128594	1	0	0	0	0	0	1	0	0	6	male	emily	B-15	male									
B-15_06_pass1_983_16	ADS	134.155125	99.2112134	239.266647	23.7257809	140.055433	0	0	0	1	0	0	0	0	0	6	male	emily	B-15	male									
B-15_06_pass1_983_18	ADS	163.545523	96.6785071	295.145441	50.4642994	198.466934	0	0	0	1	0	0	0	0	0	6	male	emily	B-15	male									
B-15_06_pass1_983_20	ADS	212.253054	150.082191	307.888901	41.8616859	157.80671	1	0	0	1	0	0	0	0	0	6	female	emily	B-15	male									
