file	speech	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	gender	coder	ID					
B-01_06_pass1__358_12.wav	CDS	187.145453	159.8874495	263.7418677	19.82640097	103.8544182	0	0	0	0	0	0	0	1	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_16.wav	CDS	239.5152001	148.0321673	317.8222727	39.77626769	169.7901054	0	0	0	0	0	0	1	0	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_18.wav	CDS	207.8741021	155.0879497	382.4208741	67.53398011	227.3329244	0	0	0	0	0	0	0	0	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_27.wav	CDS	276.2223461	140.1523041	393.832314	45.63065804	253.6800099	0	0	0	0	0	0	1	0	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_31.wav	ADS	166.4636926	138.1258659	268.3592146	28.88502661	130.2333487	0	0	0	0	0	0	0	0	0	6	MALE	giselle	B01					
B-01_06_pass1__358_33.wav	ADS	237.2419206	195.1669088	308.876251	28.15938072	113.7093422	1	0	0	0	0	0	0	0	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_34.wav	ADS	265.0066291	119.2247269	407.5576792	49.04255146	288.3329523	0	0	0	1	0	0	1	0	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_41.wav	CDS	219.0887266	161.499374	328.1074774	33.90703735	166.6081034	0	0	0	1	0	0	1	0	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_43.wav	CDS	223.612421	161.3726928	335.8053584	43.84592944	174.4326656	0	0	0	1	0	0	0	0	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_47.wav	CDS	187.1581255	158.3928894	249.399231	18.34977729	91.0063416	0	0	0	1	0	0	0	0	0	6	FEMALE	giselle	B01					
B-01_06_pass1__358_50.wav	CDS	246.4567618	169.071728	439.16013	75.9463349	270.088402	0	0	0	0	0	1	0	0	0	6	FEMALE	giselle	B01					
